"Week","PriceB1","PriceB1_1","PriceB1_2","S1_t","PriceB2","PriceB2_1","PriceB2_2","S2_t","PriceB3","PriceB3_1","PriceB3_2","S3_t","PriceB4","PriceB4_1","PriceB4_2","S4_t","PriceB5","PriceB5_1","PriceB5_2","S5_t"
1,1,1,1,74.9171142610109,1,1,1,58.5371152335956,1,1,1,47.5645328737084,0.7,1,1,587.9413749255,1,1,1,118.162190859976
2,1,1,1,103.599770281587,1,1,1,84.1770369631279,1,1,1,60.1241768521357,1,0.7,1,39.3148561710263,1,1,1,175.009084144369
3,1,1,1,74.4766193470959,1,1,1,75.603817965905,1,1,1,46.3506333373477,0.8,1,0.7,163.158028360873,1,1,1,150.937322788666
4,1,1,1,70.6780813558375,1,1,1,68.2388285994168,1,1,1,41.6079484199767,0.7,0.8,1,179.9502972961,1,1,1,151.003017878526
5,1,1,1,59.4307651955212,1,1,1,72.8773186857727,1,1,1,51.3349387454338,1,0.7,0.8,14.8483282244609,0.7,1,1,706.717488288836
6,1,1,1,56.0495078543586,0.8,1,1,82.5116575912346,0.8,1,1,65.7301603744017,1,1,0.7,23.537182954262,0.7,0.7,1,186.349741666397
7,1,1,1,86.230284132274,1,0.8,1,39.937332548478,1,0.8,1,29.6144240377601,1,1,1,106.563145539544,1,0.7,0.7,34.7568648412168
8,1,1,1,49.4029408760942,0.8,1,0.8,69.1623846392926,0.8,1,0.8,53.2314419702351,0.8,1,1,173.617782780926,1,1,0.7,61.7899224688409
9,1,1,1,62.0792897894741,1,0.8,1,32.1829709679048,0.8,0.8,1,55.9969914715766,1,0.8,1,33.0224821865924,0.8,1,1,316.074147565123
10,0.7,1,1,191.864296006037,0.8,1,0.8,63.1774742555571,0.8,0.8,0.8,25.0968653992962,1,1,0.8,26.5719362406654,1,0.8,1,41.5421887222746
11,1,0.7,1,23.3527109153601,0.8,0.8,1,69.6169437234513,1,0.8,0.8,13.9003956196379,1,1,1,81.5135622630168,0.9,1,0.8,126.028675795322
12,1,1,0.7,25.8781773761434,0.9,0.8,0.8,38.1753578094146,1,1,0.8,35.0602175434905,1,1,1,95.2455241769013,1,0.9,1,127.019968889178
13,0.8,1,1,135.141175734654,1,0.9,0.8,30.435998862326,1,1,1,40.7587258672531,0.9,1,1,215.08051100991,0.9,1,0.9,177.949483950007
14,1,0.8,1,61.6846849793764,1,1,0.9,82.2475346506765,1,1,1,57.515134656633,1,0.9,1,125.910547844385,1,0.9,1,154.295854859118
15,1,1,0.8,51.4079864580691,0.7,1,1,196.88118771064,0.7,1,1,166.901672626757,1,1,0.9,65.0959191113626,1,1,0.9,83.6523976148118
16,1,1,1,82.9627262862461,0.7,0.7,1,105.507773855517,1,0.7,1,20.830224155911,0.8,1,1,255.50815928526,1,1,1,139.88629295248
17,1,1,1,90.9375554778705,0.7,0.7,0.7,52.9561585719083,0.7,1,0.7,111.530496669999,1,0.8,1,48.280389251056,1,1,1,147.894994953714
18,0.8,1,1,232.031931007048,1,0.7,0.7,16.1880114824152,1,0.7,1,24.2118163045959,1,1,0.8,95.4817580218766,1,1,1,230.534483733821
19,1,0.8,1,49.9199905887753,0.7,1,0.7,146.398337001007,1,1,0.7,33.0040789660666,1,1,1,92.8944266436603,0.8,1,1,321.078602302296
20,0.7,1,0.8,227.94672007629,1,0.7,1,22.3663047470723,0.8,1,1,161.910091453474,1,1,1,113.829318170909,1,0.8,1,79.7904623032413
21,0.9,0.7,1,51.9410079387739,1,1,0.7,41.1998575997008,1,0.8,1,26.3436814677317,1,1,1,74.8639364685546,1,1,0.8,131.902576516094
22,1,0.9,0.7,26.1145977664995,0.8,1,1,112.369423399841,0.7,1,0.8,110.315018391916,1,1,1,88.8025439241492,1,1,1,129.273430528048
23,1,1,0.9,88.0116161072723,1,0.8,1,40.0402120167096,1,0.7,1,20.8599636337256,1,1,1,102.896505887838,1,1,1,182.071684984938
24,1,1,1,112.433353053427,1,1,0.8,46.8514335017022,1,1,0.7,28.0455651642085,1,1,1,84.9627846829089,1,1,1,168.563470841808
25,0.7,1,1,237.948362019577,1,1,1,63.8339428156391,0.8,1,1,110.14468394458,1,1,1,103.805035296285,1,1,1,121.627134459692
26,0.9,0.7,1,33.1618180692559,0.7,1,1,227.90130080817,0.8,0.8,1,69.5864840389312,1,1,1,69.7244083078327,1,1,1,149.76722697679
27,1,0.9,0.7,29.5438684027553,1,0.7,1,31.4760187148526,1,0.8,0.8,23.1941403456751,1,1,1,112.361817212899,0.9,1,1,357.31254957651
28,0.8,1,0.9,193.764876853376,1,1,0.7,28.625751705354,0.7,1,0.8,121.171340378827,1,1,1,100.194591347214,1,0.9,1,98.3295727333685
29,0.9,0.8,1,71.9183087187886,1,1,1,83.792995698072,1,0.7,1,19.8506850157693,1,1,1,104.141387309812,0.8,1,0.9,402.761395078422
30,1,0.9,0.8,29.5510825735293,0.8,1,1,158.707209654897,1,1,0.7,35.1725152056956,1,1,1,81.8607283577303,0.7,0.8,1,497.607362012736
31,1,1,0.9,107.521934396688,1,0.8,1,57.5383464489515,1,1,1,66.2621518581752,1,1,1,129.936109089405,1,0.7,0.8,66.5019487665297
32,0.9,1,1,96.3970028227917,0.7,1,0.8,170.032340971099,1,1,1,46.1641190564098,0.7,1,1,520.751119269796,1,1,0.7,71.6083556558096
33,0.7,0.9,1,266.447968441949,1,0.7,1,30.0725239306709,1,1,1,41.3483645328822,0.7,0.7,1,251.342930044795,1,1,1,172.33376945518
34,0.9,0.7,0.9,40.9329925714835,1,1,0.7,56.0842857104399,1,1,1,70.7334724802222,1,0.7,0.7,34.4859916053604,1,1,1,187.754020359329
35,1,0.9,0.7,35.957176704571,0.7,1,1,252.904178774352,1,1,1,54.6317883733587,1,1,0.7,61.8198350500629,0.8,1,1,487.917179344536
36,1,1,0.9,106.205617928659,1,0.7,1,40.76368619527,1,1,1,105.994658981766,1,1,1,148.800408570548,1,0.8,1,168.986028593791
37,1,1,1,100.815344940583,0.8,1,0.7,113.458994222466,1,1,1,56.1344275078567,1,1,1,116.904141104594,1,1,0.8,118.911974966967
38,0.9,1,1,123.217864063691,1,0.8,1,41.0418144164157,0.9,1,1,86.3574534421538,0.7,1,1,488.894084499652,1,1,1,163.094862910427
